smile,MACCS_1
CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321,
OCC1OC(OC2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1Br,
CC1C2CC(C)CCN2C2CC3C4CC=C5CC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C12,
COc1ccc2c(c1)S(=O)(=O)NC2=O,
CCOc1ccc(CCC(=O)c2c(O)cccc2O)cc1O,
COc1ccc(NCc2ccccc2)cc1O,
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,
NC(Cc1c[nH]c2cc(Cl)ccc12)C(=O)O,
COc1ccc(C2Cc3cccc(OC(C)=O)c3C(=O)O2)cc1OC(C)=O,
CS(=O)CCCCN=C=S
